n,rho,L,S,k,alpha_PN,Delta_T,Ra,RL,Th,R,K,V_TEG,I,P_TEG,P_load,P_R,P_max,I_max,Q_h
49,0.0011183472510650383,0.06940358760006542,0.0001842647415606122,1.6021582970157935,0.07547326660883401,24.788738487211248,0.0009076529276701843,6.9744994977927215,364.9997860559048,41.28116807292353,0.4168615324544936,89.80900791878747,0.0009217319716573486,0.0827798339415744,-0.08277983394157441,5.925463825754037e-06,1.038673993383212,0.02266029712915368,507.5834342684461
52,0.001014501505662892,0.028593514636774252,0.0096917545875648,0.7638064994807585,0.06261333191993103,90.43954802643589,0.005180528691352359,7.804593101595097,385.30550656964357,0.3164604927543897,26.924742372409362,290.620485706461,0.23341284806151819,67.83455527376681,-67.8345552737668,0.4252063889227777,1317.2683252035258,8.9469642639764,126915.5709261816
69,0.003605061954629721,0.08625477902566403,0.006939847881685659,0.9010320258399835,0.07809883455784633,61.755553970317195,0.0022911645410113608,7.936983924387685,362.2493596287406,6.185658322567856,10.004285985956248,328.0545538632216,0.011093882796747206,3.6393987714977736,-3.6393987714977736,0.0009768382287330113,64.87006336116752,0.38985638561375974,42651.22546114474
72,0.005562980965419263,0.07132232161870622,0.001084222304177943,1.5281089436611572,0.03263174091903017,33.10910348075606,0.00239993334714418,8.251073417869957,405.0446621977963,52.69834532254374,3.3451043905379794,76.71129013111795,0.00028412849776082987,0.02179586362624972,-0.021795863626249717,6.661009326832652e-07,0.39870424256593684,0.01025086917086945,7974.515570993972
72,0.0004328884256384371,0.02605306143792855,0.002968781171613731,0.6949867684301705,0.09390657777774439,31.311103296058512,0.0053065747352270464,3.8851838340930023,308.00341490766135,0.5523465234434106,11.404032643437018,209.0243036036402,0.06735487157236208,14.078805124725605,-14.078805124725607,0.01762583084101525,281.7407393587795,2.66166114221913,25849.420772409198
14,0.009692721476076709,0.016287311560541147,0.005436828112992464,2.203707398733203,0.09937011830303098,50.35471059135052,0.005035482132073336,9.354333876957504,418.1938168680998,0.8180673447447947,20.597198759525337,67.29833517492109,0.24048094423444896,16.183967188271453,-16.183967188271453,0.5409712732527066,107.12006056113928,3.058277280422656,14659.900448825058
88,0.0032778726895976253,0.010871935371711626,0.007269063699198695,1.2910876595950913,0.024807944769033877,46.28324636264538,0.009286787801876145,4.748922590749045,330.57740193672254,0.8721324837860917,151.9287660166494,99.95962990245582,0.014088839103404594,1.408315142531571,-1.4083151425315708,0.0009426392288211772,33.25595450606311,0.6582670871927482,618804.7326887222
26,0.0022905005833194496,0.0902844692273196,0.003949787561049772,0.9661556489289753,0.05616147907551047,16.19924090605152,0.005084147852322357,2.237999645132604,495.2805200237449,2.7276165788104083,2.1979161979410624,22.77216514406028,0.012436067410317478,0.2831961808104157,-0.2831961808104157,0.0003461195642725122,1.9724065545037814,0.166770750744803,934.7073011661435
41,0.0014985126587663774,0.0220118688623226,0.002348131312483898,1.6708641494919574,0.08771285966383383,94.88281954309869,0.0020441040319947243,5.194786351529352,429.1217354455387,1.1539282616812103,14.615728138997213,333.7211374556777,0.15850508495462798,52.896497243567275,-52.896497243567275,0.1305130951891978,615.2431109117647,3.6061355421555152,57102.055099984784
92,0.0010628732779254214,0.08012727768262497,0.004603112808196866,1.993672743497198,0.0412928189798942,80.825872942132,0.0003680744913337473,6.4755697069356195,301.58390438254554,3.404670083327931,21.073803433359704,303.78266177815703,0.010439392161674962,3.171306338219649,-3.1713063382196487,0.0007057134710459727,75.24933627519748,0.4901397284621896,156716.3307342444
